# Network nodes data
# Layout: spring
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:47.109221
node_id,node_type,in_degree,out_degree
1257,Type b,37,3
1258,Type b,30,3
1259,Type b,60,3
1260,Type b,22,3
1261,Type b,16,3
1262,Type b,48,3
1263,Type b,18,3
1264,Type b,23,3
1265,Type a,1,3
1266,Type b,69,3
1267,Type b,33,3
1268,Type b,47,3
1269,Type b,46,3
1270,Type b,17,3
1271,Type b,40,3
1272,Type b,25,3
1273,Type b,35,3
1274,Type b,37,3
1275,Type b,49,3
1276,Type b,21,3
1277,Type b,35,3
1278,Type b,43,3
1279,Type b,27,3
1280,Type b,33,3
1281,Type b,33,3
1282,Type b,27,3
1283,Type b,79,3
1284,Type b,28,3
1285,Type b,23,3
1286,Type b,79,3
1287,Type b,69,3
1288,Type b,49,3
1289,Type a,8,3
1290,Type b,29,3
1291,Type a,6,3
1292,Type b,34,3
1293,Type b,39,3
1294,Type b,23,3
1295,Type b,32,3
1296,Type b,34,3
1297,Type b,38,3
1298,Type b,45,3
1299,Type b,54,3
1300,Type b,41,3
1301,Type b,63,3
1302,Type b,44,3
1303,Type b,46,3
1304,Type b,36,3
1305,Type b,32,3
1306,Type b,33,3
1307,Type b,41,3
1308,Type b,21,3
